Model,Threshold,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
XGBoost,0.25462210178375244,0.6132726269315674,0.09218713989398479,0.6010518407212622,0.1598561294834649,0.6520484784099406,0.12308751189515928
Naive LR,0.5,0.9387877115526122,0.0,0.0,0.0,0.6455310534679013,0.10937772864145884
Balanced LR,0.49419653403676717,0.6082597498160413,0.09095048377916903,0.6003005259203607,0.15796757611704232,0.6432930827399916,0.1100913782767019
GRU,0.42483949661254883,0.589817880794702,0.08724978241949521,0.6025544703230654,0.15242801482466978,0.6220674734648369,0.09683190208198994
