year,week,state,county,temperature,precipitation,ndvi,fire
2023,1,Arizona,Apache,5.03951131218384,2.03160987855761,0.0606704428562284,0
2023,1,Arizona,Cochise,14.0987779235214,2.22728591467151,0.144461148311766,0
2023,1,Arizona,Coconino,5.22442879729033,3.56175942468326,0.0691972016012665,0
2023,1,Arizona,Gila,8.36781333201615,5.5444640203518,0.103145313934104,0
2023,1,Arizona,Graham,10.7519276183896,2.80975783362388,0.088426952728335,0
2023,1,Arizona,Greenlee,8.47167992918202,2.79299821903361,0.0905699002540811,0
2023,1,Arizona,La Paz,17.0236098801806,1.25995514600991,0.127053980099293,0
2023,1,Arizona,Maricopa,15.9042231985759,2.09680506266699,0.116670564092979,0
2023,1,Arizona,Mohave,9.16895864662187,3.44817470910712,0.092701252078191,0
2023,1,Arizona,Navajo,6.07458351478966,2.19950064472239,0.0676375036579722,0
2023,1,Arizona,Pima,16.6970136725469,2.53894852327762,0.136736110610725,0
2023,1,Arizona,Pinal,15.1653018550315,3.02493765619057,0.124913299343905,0
2023,1,Arizona,Santa Cruz,14.8851821878899,3.37749803563465,0.181913116917205,0
2023,1,Arizona,Yavapai,9.33105206288263,4.05236299084092,0.114687951334336,0
2023,1,Arizona,Yuma,18.5778592543977,0.920617298776609,0.103673380815372,0
2023,2,Arizona,Apache,10.4927070861732,0.461143453910308,0.152466541954575,0
2023,2,Arizona,Cochise,19.2453167082002,0.0900477392502077,0.188689986607391,0
2023,2,Arizona,Coconino,9.33724965229847,2.11330472695609,0.110680962737648,0
2023,2,Arizona,Gila,14.4899044457174,0.602561338916126,0.322682852441225,0
2023,2,Arizona,Graham,17.0381782502676,0.0924429121265621,0.220656952561147,0
2023,2,Arizona,Greenlee,15.1903159790499,0.0147090958383912,0.228125913952076,0
2023,2,Arizona,La Paz,19.3626435640512,0.852244126867942,0.122766120297349,0
2023,2,Arizona,Maricopa,19.8834628156856,0.431157483495018,0.181970281886563,0
2023,2,Arizona,Mohave,13.0245008596177,3.42618187945278,0.110580549310988,0
2023,2,Arizona,Navajo,11.0522638593387,0.731290634044149,0.148667170301092,0
2023,2,Arizona,Pima,21.4123153134832,0.279939493121547,0.190783778573806,0
2023,2,Arizona,Pinal,20.2857464066875,0.235363247644916,0.227957499756688,0
2023,2,Arizona,Santa Cruz,20.2185459220209,0.0253562430324963,0.239005249497659,0
2023,2,Arizona,Yavapai,14.4792874582834,1.40503148510718,0.189405426078124,0
2023,2,Arizona,Yuma,20.7552222938062,0.464113655723909,0.112400601791911,0
2023,3,Arizona,Apache,2.39039923020353,2.86470080207587,0.0353614092285607,0
2023,3,Arizona,Cochise,10.2932866785283,3.67447692615387,0.120866478420094,0
2023,3,Arizona,Coconino,2.79016850383613,4.54029610541353,0.0473646271066135,0
2023,3,Arizona,Gila,6.3900005025993,6.41820052500223,0.155206138205707,0
2023,3,Arizona,Graham,8.51662898223995,4.11165126378715,0.104882133254203,0
2023,3,Arizona,Greenlee,6.5954858842497,3.65390056840166,0.0801767017736539,0
2023,3,Arizona,La Paz,14.7676822568094,1.98509426849693,0.141179616493617,0
2023,3,Arizona,Maricopa,13.9634474888441,2.33528101992758,0.19083205313519,0
2023,3,Arizona,Mohave,7.38267326404735,3.55319664849152,0.105529455895839,0
2023,3,Arizona,Navajo,3.58497553801201,2.86846330758385,0.051753065645672,0
2023,3,Arizona,Pima,13.5928713730529,4.37264681662445,0.160985077938925,0
2023,3,Arizona,Pinal,13.0893751755976,3.92303643141108,0.195663100781156,0
2023,3,Arizona,Santa Cruz,10.5964814359196,4.00416689746661,0.160076179996258,0
2023,3,Arizona,Yavapai,6.74601776011364,6.11504346737878,0.133570355372898,0
2023,3,Arizona,Yuma,16.3669791012119,1.30841816908929,0.127743579246501,0
2023,4,Arizona,Apache,3.07563541733648,0.212441090422052,0.0865910418047773,0
2023,4,Arizona,Cochise,11.4303865050644,0.0243741491417598,0.184737136763222,0
