county,month,ndvi_mean,state,week,year
Dodge,1.0,-0.0172279674699975,Minnesota,1.0,2023
Olmsted,1.0,-0.0098081467168978,Minnesota,1.0,2023
Wabasha,1.0,-0.00811141356336,Minnesota,1.0,2023
Blue Earth,1.0,-0.0150630094504095,Minnesota,1.0,2023
Nicollet,1.0,-0.0160704639346942,Minnesota,1.0,2023
Brown,1.0,-0.0193843552003721,Minnesota,1.0,2023
Rice,1.0,-0.0170981263865302,Minnesota,1.0,2023
McLeod,1.0,-0.0202689741901057,Minnesota,1.0,2023
Mille Lacs,1.0,-0.0003773282058961,Minnesota,1.0,2023
Sibley,1.0,-0.0221060003418771,Minnesota,1.0,2023
Wright,1.0,-0.0098094983446925,Minnesota,1.0,2023
Scott,1.0,-0.0107153638643708,Minnesota,1.0,2023
Chisago,1.0,0.0018767828853369,Minnesota,1.0,2023
Dakota,1.0,-0.012007479822106,Minnesota,1.0,2023
Anoka,1.0,0.0058617427110353,Minnesota,1.0,2023
Ramsey,1.0,0.0057738569365565,Minnesota,1.0,2023
Isanti,1.0,0.0017556838756064,Minnesota,1.0,2023
Washington,1.0,4.11972473182485E-05,Minnesota,1.0,2023
Sherburne,1.0,0.0038857048487054,Minnesota,1.0,2023
Le Sueur,1.0,-0.0180942583448498,Minnesota,1.0,2023
Carver,1.0,-0.0145483637656646,Minnesota,1.0,2023
Hennepin,1.0,0.0009789910165849,Minnesota,1.0,2023
Goodhue,1.0,-0.0145215752628992,Minnesota,1.0,2023
Benton,1.0,-0.009579435287238,Minnesota,1.0,2023
Stearns,1.0,-0.015410615261594,Minnesota,1.0,2023
Clay,1.0,-0.0326791106691892,Minnesota,1.0,2023
Wilkin,1.0,-0.0340707903162403,Minnesota,1.0,2023
Stevens,1.0,-0.022377626873274,Minnesota,1.0,2023
Kittson,1.0,-0.0207121317559741,Minnesota,1.0,2023
Morrison,1.0,-0.004601515369666,Minnesota,1.0,2023
Pipestone,1.0,-0.0263778224688823,Minnesota,1.0,2023
Renville,1.0,-0.0239994675495216,Minnesota,1.0,2023
Mahnomen,1.0,-0.0162508067087299,Minnesota,1.0,2023
Freeborn,1.0,-0.0055290927507544,Minnesota,1.0,2023
Douglas,1.0,-0.0171413175529918,Minnesota,1.0,2023
Beltrami,1.0,0.0047170897080977,Minnesota,1.0,2023
Cass,1.0,0.0139161070769622,Minnesota,1.0,2023
Crow Wing,1.0,0.0076184569409921,Minnesota,1.0,2023
St. Louis,1.0,0.0423203340340134,Minnesota,1.0,2023
Carlton,1.0,0.0106302681569355,Minnesota,1.0,2023
Martin,1.0,-0.0154564457376419,Minnesota,1.0,2023
Otter Tail,1.0,-0.0158410629808401,Minnesota,1.0,2023
Polk,1.0,-0.0347928739243973,Minnesota,1.0,2023
Itasca,1.0,0.0481675037333406,Minnesota,1.0,2023
Houston,1.0,0.0096676680461431,Minnesota,1.0,2023
Lyon,1.0,-0.0231499680296599,Minnesota,1.0,2023
Steele,1.0,-0.0151554276227521,Minnesota,1.0,2023
Kandiyohi,1.0,-0.0184621952540107,Minnesota,1.0,2023
Winona,1.0,-0.0016944939025061,Minnesota,1.0,2023
Nobles,1.0,-0.0259253562822439,Minnesota,1.0,2023
Cherokee,1.0,0.298060217928641,Texas,1.0,2023
Smith,1.0,0.257324551943662,Texas,1.0,2023
Calhoun,1.0,0.0164875094506347,Texas,1.0,2023
Victoria,1.0,0.234601960256865,Texas,1.0,2023
Goliad,1.0,0.254736118452848,Texas,1.0,2023
Jefferson,1.0,0.187681971045821,Texas,1.0,2023
Newton,1.0,0.42671668012834,Texas,1.0,2023
Hardin,1.0,0.412483021194724,Texas,1.0,2023
Bee,1.0,0.250458105563751,Texas,1.0,2023
Glasscock,1.0,0.18296121927512,Texas,1.0,2023
Howard,1.0,0.156242362596108,Texas,1.0,2023
Brown,1.0,0.180868572157284,Texas,1.0,2023
Brazos,1.0,0.225206681076143,Texas,1.0,2023
Robertson,1.0,0.225670944766093,Texas,1.0,2023
Burleson,1.0,0.244735965881243,Texas,1.0,2023
Val Verde,1.0,0.238547567040083,Texas,1.0,2023
Moore,1.0,0.176374641243245,Texas,1.0,2023
Maverick,1.0,0.229251655295798,Texas,1.0,2023
Gillespie,1.0,0.195796840731586,Texas,1.0,2023
Deaf Smith,1.0,0.156628448103289,Texas,1.0,2023
Kerr,1.0,0.217789674474425,Texas,1.0,2023
Bell,1.0,0.120107228214746,Texas,1.0,2023
Coryell,1.0,0.151596216198852,Texas,1.0,2023
Lampasas,1.0,0.150125429213978,Texas,1.0,2023
Dawson,1.0,0.171260980351985,Texas,1.0,2023
Webb,1.0,0.32822693625425,Texas,1.0,2023
Angelina,1.0,0.260320432975459,Texas,1.0,2023
Titus,1.0,0.326810740784384,Texas,1.0,2023
Nacogdoches,1.0,0.253160727947162,Texas,1.0,2023
Anderson,1.0,0.276705844119636,Texas,1.0,2023
Gray,1.0,0.186618102789479,Texas,1.0,2023
Lamar,1.0,0.310875888105293,Texas,1.0,2023
Reeves,1.0,0.135241919706909,Texas,1.0,2023
Hale,1.0,0.203166233390742,Texas,1.0,2023
Irion,1.0,0.219822459156458,Texas,1.0,2023
Tom Green,1.0,0.218394713044796,Texas,1.0,2023
Bandera,1.0,0.235469920261968,Texas,1.0,2023
Bexar,1.0,0.20943283241082,Texas,1.0,2023
Comal,1.0,0.258543717225386,Texas,1.0,2023
Kendall,1.0,0.231776475365705,Texas,1.0,2023
Medina,1.0,0.199541331809188,Texas,1.0,2023
Guadalupe,1.0,0.24938056930678,Texas,1.0,2023
Atascosa,1.0,0.257281281949346,Texas,1.0,2023
Wilson,1.0,0.250584647292651,Texas,1.0,2023
Scurry,1.0,0.184791022066375,Texas,1.0,2023
Erath,1.0,0.213391552012203,Texas,1.0,2023
Nolan,1.0,0.210552529360042,Texas,1.0,2023
Bowie,1.0,0.33635055640313,Texas,1.0,2023
Uvalde,1.0,0.254731908352461,Texas,1.0,2023
Wilbarger,1.0,0.189887977807398,Texas,1.0,2023
McLennan,1.0,0.111845732728054,Texas,1.0,2023
Falls,1.0,0.158832171724607,Texas,1.0,2023
Clay,1.0,0.187464958804242,Texas,1.0,2023
Wichita,1.0,0.195425083839311,Texas,1.0,2023
Archer,1.0,0.197865140999103,Texas,1.0,2023
Zapata,1.0,0.311986553301958,Texas,1.0,2023
Armstrong,1.0,0.179765460781728,Texas,1.0,2023
Oldham,1.0,0.116171922726419,Texas,1.0,2023
Randall,1.0,0.154735348407427,Texas,1.0,2023
Potter,1.0,0.145579678704884,Texas,1.0,2023
Carson,1.0,0.175288973309342,Texas,1.0,2023
Hutchinson,1.0,0.17468568658051,Texas,1.0,2023
Cameron,1.0,0.140896044694239,Texas,1.0,2023
Willacy,1.0,0.139211972305708,Texas,1.0,2023
Williamson,1.0,0.156755572327298,Texas,1.0,2023
Travis,1.0,0.199338853011662,Texas,1.0,2023
Bastrop,1.0,0.26482358307168,Texas,1.0,2023
Orange,1.0,0.275835532152739,Texas,1.0,2023
Rusk,1.0,0.310320276136333,Texas,1.0,2023
Gregg,1.0,0.287343157356726,Texas,1.0,2023
Upshur,1.0,0.34278181679246,Texas,1.0,2023
Harrison,1.0,0.333506277002899,Texas,1.0,2023
Hockley,1.0,0.160549436596013,Texas,1.0,2023
Crosby,1.0,0.183562372424068,Texas,1.0,2023
Lynn,1.0,0.194243278470212,Texas,1.0,2023
Lubbock,1.0,0.176355968336957,Texas,1.0,2023
Hidalgo,1.0,0.327459058443848,Texas,1.0,2023
Starr,1.0,0.332200925060986,Texas,1.0,2023
Martin,1.0,0.129617664493516,Texas,1.0,2023
Midland,1.0,0.149712610261493,Texas,1.0,2023
Ector,1.0,0.138758318029609,Texas,1.0,2023
Jim Wells,1.0,0.277837214388108,Texas,1.0,2023
Aransas,1.0,0.0465535211393621,Texas,1.0,2023
San Patricio,1.0,0.1923200602958,Texas,1.0,2023
Nueces,1.0,0.0760834374332558,Texas,1.0,2023
Kleberg,1.0,0.172036711611115,Texas,1.0,2023
Kenedy,1.0,0.176751300504895,Texas,1.0,2023
Henderson,1.0,0.221132767199463,Texas,1.0,2023
Fannin,1.0,0.285565155991525,Texas,1.0,2023
Navarro,1.0,0.208179605993204,Texas,1.0,2023
Rockwall,1.0,0.153107928978683,Texas,1.0,2023
Parker,1.0,0.180795563992046,Texas,1.0,2023
Kaufman,1.0,0.2176208159172,Texas,1.0,2023
Johnson,1.0,0.165142779379188,Texas,1.0,2023
Tarrant,1.0,0.11884746837885,Texas,1.0,2023
Wise,1.0,0.192314240749329,Texas,1.0,2023
Ellis,1.0,0.154699097752642,Texas,1.0,2023
Hunt,1.0,0.284308365428345,Texas,1.0,2023
Hood,1.0,0.188412775687012,Texas,1.0,2023
Collin,1.0,0.184294910316346,Texas,1.0,2023
Denton,1.0,0.147655050001098,Texas,1.0,2023
Dallas,1.0,0.143817861396059,Texas,1.0,2023
Somervell,1.0,0.220182923908126,Texas,1.0,2023
Cooke,1.0,0.278641152545176,Texas,1.0,2023
Palo Pinto,1.0,0.24020767664354,Texas,1.0,2023
Grayson,1.0,0.256446397675565,Texas,1.0,2023
Hopkins,1.0,0.307972548164414,Texas,1.0,2023
Hudspeth,1.0,0.114289360525201,Texas,1.0,2023
El Paso,1.0,0.103277451584747,Texas,1.0,2023
Matagorda,1.0,0.0980532751946421,Texas,1.0,2023
Washington,1.0,0.265398824483104,Texas,1.0,2023
Wharton,1.0,0.245389983683384,Texas,1.0,2023
