year,month,week,state,county,temperature,precipitation,ndvi,fire
2023,1,1,Arizona,Apache,5.03951131218384,14.2212691499032,0.0606704428562284,0
2023,1,1,Arizona,Cochise,14.0987779235214,15.5910014027005,0.144461148311766,0
2023,1,1,Arizona,Coconino,5.22442879729033,24.9323159727828,0.0691972016012665,0
2023,1,1,Arizona,Gila,8.36781333201615,38.8112481424626,0.103145313934104,0
2023,1,1,Arizona,Graham,10.7519276183896,19.6683048353672,0.088426952728335,0
2023,1,1,Arizona,Greenlee,8.47167992918202,19.5509875332353,0.0905699002540811,0
2023,1,1,Arizona,La Paz,17.0236098801806,8.81968602206935,0.127053980099293,0
2023,1,1,Arizona,Maricopa,15.9042231985759,14.6776354386689,0.116670564092979,0
2023,1,1,Arizona,Mohave,9.16895864662187,24.1372229637498,0.092701252078191,0
2023,1,1,Arizona,Navajo,6.07458351478966,15.3965045130567,0.0676375036579722,0
2023,1,1,Arizona,Pima,16.6970136725469,17.7726396629433,0.136736110610725,0
2023,1,1,Arizona,Pinal,15.1653018550315,21.174563593334,0.124913299343905,0
2023,1,1,Arizona,Santa Cruz,14.8851821878899,23.6424862494426,0.181913116917205,0
2023,1,1,Arizona,Yavapai,9.33105206288263,28.3665409358865,0.114687951334336,0
2023,1,1,Arizona,Yuma,18.5778592543977,6.44432109143626,0.103673380815372,0
2023,1,2,Arizona,Apache,10.4927070861732,3.22800417737215,0.152466541954575,0
2023,1,2,Arizona,Cochise,19.2453167082002,0.630334174751454,0.188689986607391,0
2023,1,2,Arizona,Coconino,9.33724965229847,14.7931330886927,0.110680962737648,0
2023,1,2,Arizona,Gila,14.4899044457174,4.21792937241289,0.322682852441225,0
2023,1,2,Arizona,Graham,17.0381782502676,0.647100384885935,0.220656952561147,0
2023,1,2,Arizona,Greenlee,15.1903159790499,0.102963670868739,0.228125913952076,0
2023,1,2,Arizona,La Paz,19.3626435640512,5.9657088880756,0.122766120297349,0
2023,1,2,Arizona,Maricopa,19.8834628156856,3.01810238446513,0.181970281886563,0
2023,1,2,Arizona,Mohave,13.0245008596177,23.9832731561695,0.110580549310988,0
2023,1,2,Arizona,Navajo,11.0522638593387,5.11903443830904,0.148667170301092,0
2023,1,2,Arizona,Pima,21.4123153134832,1.95957645185083,0.190783778573806,0
2023,1,2,Arizona,Pinal,20.2857464066875,1.64754273351441,0.227957499756688,0
2023,1,2,Arizona,Santa Cruz,20.2185459220209,0.177493701227474,0.239005249497659,0
2023,1,2,Arizona,Yavapai,14.4792874582834,9.83522039575025,0.189405426078124,0
2023,1,2,Arizona,Yuma,20.7552222938062,3.24879559006736,0.112400601791911,0
2023,1,3,Arizona,Apache,2.39039923020353,20.0529056145311,0.0353614092285607,0
2023,1,3,Arizona,Cochise,10.2932866785283,25.7213384830771,0.120866478420094,0
2023,1,3,Arizona,Coconino,2.79016850383613,31.7820727378947,0.0473646271066135,0
2023,1,3,Arizona,Gila,6.3900005025993,44.9274036750156,0.155206138205707,0
2023,1,3,Arizona,Graham,8.51662898223995,28.78155884651,0.104882133254203,0
2023,1,3,Arizona,Greenlee,6.5954858842497,25.5773039788116,0.0801767017736539,0
2023,1,3,Arizona,La Paz,14.7676822568094,13.8956598794785,0.141179616493617,0
2023,1,3,Arizona,Maricopa,13.9634474888441,16.3469671394931,0.19083205313519,0
2023,1,3,Arizona,Mohave,7.38267326404735,24.8723765394406,0.105529455895839,0
2023,1,3,Arizona,Navajo,3.58497553801201,20.079243153087,0.051753065645672,0
2023,1,3,Arizona,Pima,13.5928713730529,30.6085277163712,0.160985077938925,0
2023,1,3,Arizona,Pinal,13.0893751755976,27.4612550198775,0.195663100781156,0
2023,1,3,Arizona,Santa Cruz,10.5964814359196,28.0291682822663,0.160076179996258,0
2023,1,3,Arizona,Yavapai,6.74601776011364,42.8053042716514,0.133570355372898,0
2023,1,3,Arizona,Yuma,16.3669791012119,9.15892718362502,0.127743579246501,0
2023,1,4,Arizona,Apache,3.07563541733648,1.48708763295437,0.0865910418047773,0
2023,1,4,Arizona,Cochise,11.4303865050644,0.170619043992319,0.184737136763222,0
2023,1,4,Arizona,Coconino,3.73195939022774,0.6605390076388,0.0815914117675246,0
2023,1,4,Arizona,Gila,7.44164232580084,0.0,0.302456920390368,0
2023,1,4,Arizona,Graham,9.62516517744744,0.107086862702626,0.19994862392218,0
2023,1,4,Arizona,Greenlee,7.91885234354263,1.05182404742548,0.204558319353173,0
2023,1,4,Arizona,La Paz,16.3803062062985,0.0,0.175918084622866,0
2023,1,4,Arizona,Maricopa,14.7473636536435,0.0,0.244449559258302,0
2023,1,4,Arizona,Mohave,9.28366733297592,0.0013330694161706,0.18124731330939,0
2023,1,4,Arizona,Navajo,3.66294257492836,2.22012292703486,0.0731831732154273,0
2023,1,4,Arizona,Pima,14.7792753419489,0.0061091030887988,0.227327050570989,0
2023,1,4,Arizona,Pinal,13.9242946754731,0.0,0.279790276028849,0
2023,1,4,Arizona,Santa Cruz,12.3373802160598,1.99277810745149,0.24044979919886,0
2023,1,4,Arizona,Yavapai,9.03386465547881,0.394157871942789,0.246008486627624,0
2023,1,4,Arizona,Yuma,17.2981353319503,0.0,0.15253463495182,0
2023,2,1,Arizona,Apache,7.90962698226108,0.437615708060716,0.135341435699831,0
2023,2,1,Arizona,Cochise,16.841422632726,1.1997596283127,0.214187875206438,0
2023,2,1,Arizona,Coconino,7.80107632376584,0.644100173596892,0.134543919581882,0
2023,2,1,Arizona,Gila,13.2615688094769,3.37362351976341,0.368144134692383,0
2023,2,1,Arizona,Graham,15.4080320102942,3.13640125545235,0.238514754826858,0
2023,2,1,Arizona,Greenlee,13.4200484143387,0.182169439286788,0.220845161140966,0
2023,2,1,Arizona,La Paz,19.2491730727372,0.895095262525747,0.163562520841776,1
2023,2,1,Arizona,Maricopa,19.2154591464856,1.7780365292913,0.262889199210057,0
2023,2,1,Arizona,Mohave,12.6601378144065,0.4973935754683,0.194127322335924,0
2023,2,1,Arizona,Navajo,8.590678183183,0.347004065145565,0.126649726087794,0
2023,2,1,Arizona,Pima,18.8066424432688,3.22207743429982,0.215493948282001,1
2023,2,1,Arizona,Pinal,19.1258915352577,2.01010442136406,0.290147731538635,0
2023,2,1,Arizona,Santa Cruz,16.8539917080562,2.24067539265785,0.241311311079497,0
2023,2,1,Arizona,Yavapai,13.6863095337113,2.63356453816526,0.275318808316117,0
2023,2,1,Arizona,Yuma,19.6622316245168,2.08627975493882,0.149816369954126,0
2023,2,2,Arizona,Apache,7.12425277931828,4.83596615455049,0.128148906645354,0
2023,2,2,Arizona,Cochise,14.2062635747588,0.778509444157055,0.171831860584184,0
2023,2,2,Arizona,Coconino,6.89185470413964,6.36192148814087,0.113829538725048,0
2023,2,2,Arizona,Gila,10.238611966519,1.48681143823418,0.256152703031812,0
2023,2,2,Arizona,Graham,12.5385144228294,2.64532516293467,0.197485727945006,0
2023,2,2,Arizona,Greenlee,10.6943994325441,2.07617007628478,0.215898248875111,0
2023,2,2,Arizona,La Paz,18.8902510182896,2.84987645271353,0.143027161048773,0
2023,2,2,Arizona,Maricopa,17.9901467747118,0.31167154530431,0.166294791688578,0
2023,2,2,Arizona,Mohave,12.2840430148381,8.45547590345274,0.143271722309226,0
2023,2,2,Arizona,Navajo,7.82899695493783,4.21387420322017,0.117261499650905,0
2023,2,2,Arizona,Pima,17.4369030460696,0.760928941201533,0.159359981628534,1
2023,2,2,Arizona,Pinal,17.3948400308964,3.03275523455684,0.203566627413145,0
2023,2,2,Arizona,Santa Cruz,14.47857685963,0.11326358774256,0.179617024684383,0
2023,2,2,Arizona,Yavapai,11.659610475201,5.8324768936306,0.171293903195341,0
2023,2,2,Arizona,Yuma,19.6883749157119,0.493099785813047,0.140337495017338,0
2023,2,3,Arizona,Apache,4.81814397029587,13.3572157730569,0.0703054973385649,0
2023,2,3,Arizona,Cochise,11.9882287118826,20.0174257237713,0.0968606196907273,0
2023,2,3,Arizona,Coconino,6.19384774734184,7.54486034179789,0.119234986504458,0
2023,2,3,Arizona,Gila,9.18200438055155,31.8748184309428,0.167090854740881,0
2023,2,3,Arizona,Graham,11.2150702711999,20.2171906159053,0.120119469750543,0
2023,2,3,Arizona,Greenlee,9.41112182516838,19.2804342329874,0.118476861484526,0
2023,2,3,Arizona,La Paz,18.4966850848433,0.0831526120476193,0.155998796841353,0
2023,2,3,Arizona,Maricopa,17.463701319881,3.79651411760217,0.213276609327375,0
2023,2,3,Arizona,Mohave,11.5797985469381,0.509067163487241,0.173045483139431,0
2023,2,3,Arizona,Navajo,5.38817905993421,8.84285955624907,0.0665684887119995,0
2023,2,3,Arizona,Pima,16.0432946194812,22.562086906428,0.144513588513286,0
2023,2,3,Arizona,Pinal,16.3742214236231,24.322175125635,0.19251849140375,0
2023,2,3,Arizona,Santa Cruz,12.5547603116779,30.7748119218826,0.12572673425015,0
2023,2,3,Arizona,Yavapai,11.2687031050116,3.05362750358466,0.210500584183241,0
2023,2,3,Arizona,Yuma,19.0419537412546,1.23023249986712,0.133943344729983,0
